time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/15:03:38.494479,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:39.498669,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:40.500800,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:41.498927,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:42.493902,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:43.491823,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:44.500119,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:45.493616,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:46.492555,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:47.498175,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:48.499844,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:49.492967,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:50.492476,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:51.498465,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:52.498645,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:53.498434,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:54.499592,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
